GAME_ID,GAME_DATE_EST,TEAM_ID_home,PTS_home,SEASON,TEAM_ID_away,PTS_away
857926,2023-01-04,6,90,2022,24,88
857927,2023-01-04,23,129,2022,12,126
857928,2023-01-04,14,112,2022,16,109
857929,2023-01-04,26,117,2022,1,120
857930,2023-01-05,7,95,2022,2,124
857931,2023-01-05,22,115,2022,15,123
857932,2023-01-05,8,122,2022,13,91
857933,2023-01-05,11,114,2022,29,131
857934,2023-01-06,17,109,2022,4,138
857935,2023-01-06,21,127,2022,30,110
857936,2023-01-06,27,121,2022,9,109
857937,2023-01-06,23,112,2022,5,126
857938,2023-01-06,18,128,2022,13,115
857939,2023-01-06,19,102,2022,3,108
857940,2023-01-06,24,96,2022,16,104
857941,2023-01-06,28,108,2022,20,112
857942,2023-01-06,12,108,2022,25,99
857943,2023-01-06,8,121,2022,6,108
857944,2023-01-06,14,130,2022,1,114
857945,2023-01-07,27,116,2022,2,121
857946,2023-01-07,5,126,2022,29,118
857947,2023-01-07,10,101,2022,22,115
857948,2023-01-07,7,127,2022,19,117
857949,2023-01-07,26,134,2022,14,136
857950,2023-01-08,15,123,2022,29,118
857951,2023-01-08,16,101,2022,3,102
857952,2023-01-08,11,96,2022,18,104
857953,2023-01-08,9,111,2022,23,123
857954,2023-01-08,12,116,2022,4,111
857955,2023-01-08,28,117,2022,25,105
857956,2023-01-08,21,120,2022,7,109
857957,2023-01-08,24,98,2022,6,112
857958,2023-01-08,13,108,2022,1,112
857959,2023-01-09,15,121,2022,27,113
857960,2023-01-09,20,107,2022,17,111
857961,2023-01-09,2,107,2022,5,99
857962,2023-01-09,8,122,2022,14,109
857963,2023-01-09,30,112,2022,19,132
857964,2023-01-09,26,136,2022,22,111
857965,2023-01-10,16,112,2022,21,111
857966,2023-01-10,23,147,2022,9,116
857967,2023-01-10,25,106,2022,22,109
857968,2023-01-10,13,113,2022,7,101
857969,2023-01-10,10,113,2022,24,125
857970,2023-01-10,29,116,2022,6,114
857971,2023-01-10,28,132,2022,4,120
857972,2023-01-11,30,100,2022,5,97
857973,2023-01-11,8,126,2022,24,97
857974,2023-01-11,26,135,2022,11,115
857975,2023-01-11,2,125,2022,19,114
857976,2023-01-11,9,135,2022,18,118
857977,2023-01-11,15,135,2022,27,129
857978,2023-01-11,20,119,2022,12,113
857979,2023-01-11,1,105,2022,17,114
857980,2023-01-12,23,114,2022,21,133
857981,2023-01-12,28,124,2022,4,114
857982,2023-01-12,14,115,2022,7,119
857983,2023-01-12,25,113,2022,6,119
857984,2023-01-12,3,98,2022,2,109
857985,2023-01-12,16,108,2022,17,102
857986,2023-01-13,26,139,2022,11,114
857987,2023-01-13,30,108,2022,20,112
857988,2023-01-13,13,103,2022,8,115
857989,2023-01-13,9,110,2022,19,116
857990,2023-01-13,18,121,2022,24,116
857991,2023-01-13,12,111,2022,1,113
857992,2023-01-13,27,113,2022,10,144
857993,2023-01-13,29,112,2022,22,108
857994,2023-01-13,5,110,2022,21,124
857995,2023-01-14,12,112,2022,15,130
857996,2023-01-14,28,103,2022,1,114
857997,2023-01-14,29,117,2022,23,118
857998,2023-01-14,16,111,2022,17,95
857999,2023-01-14,25,136,2022,7,119
858000,2023-01-14,4,106,2022,2,122
858001,2023-01-14,18,110,2022,6,102
858002,2023-01-15,5,132,2022,10,118
858003,2023-01-15,9,104,2022,20,117
858004,2023-01-15,8,119,2022,22,116
858005,2023-01-15,13,121,2022,11,100
858006,2023-01-15,27,119,2022,26,132
858007,2023-01-15,14,112,2022,23,113
