game_id,game_date,game_home_team,game_home_team_score,game_season,game_visitor_team,game_visitor_team_score
857827,2022-12-21,Celtics,112,2022,Pacers,117
857828,2022-12-21,Nets,143,2022,Warriors,113
857829,2022-12-21,Knicks,106,2022,Raptors,113
857830,2022-12-21,Clippers,126,2022,Hornets,105
857831,2022-12-22,Pelicans,126,2022,Spurs,117
857832,2022-12-22,Jazz,120,2022,Wizards,112
857833,2022-12-23,76ers,119,2022,Clippers,114
857834,2022-12-23,Thunder,125,2022,Pelicans,128
857835,2022-12-23,Celtics,121,2022,Timberwolves,109
857836,2022-12-23,Magic,133,2022,Spurs,113
857837,2022-12-23,Knicks,117,2022,Bulls,118
857838,2022-12-23,Rockets,106,2022,Mavericks,112
857839,2022-12-23,Cavaliers,107,2022,Raptors,118
857840,2022-12-23,Heat,108,2022,Pacers,111
857841,2022-12-23,Nets,118,2022,Bucks,100
857842,2022-12-23,Hawks,130,2022,Pistons,105
857843,2022-12-23,Nuggets,120,2022,Trail Blazers,107
857844,2022-12-23,Suns,100,2022,Grizzlies,125
857845,2022-12-23,Kings,111,2022,Wizards,125
857846,2022-12-23,Lakers,130,2022,Hornets,134
857847,2022-12-25,Celtics,139,2022,Bucks,118
857848,2022-12-25,Warriors,123,2022,Grizzlies,109
857849,2022-12-25,Nuggets,128,2022,Suns,125
857850,2022-12-25,Knicks,112,2022,76ers,119
857851,2022-12-25,Mavericks,124,2022,Lakers,115
857852,2022-12-26,Bulls,118,2022,Rockets,133
857853,2022-12-26,Pelicans,113,2022,Pacers,93
857854,2022-12-26,Trail Blazers,124,2022,Hornets,113
857855,2022-12-26,Pistons,131,2022,Clippers,142
857856,2022-12-26,Spurs,126,2022,Jazz,122
